ID,Name,Stadt,Website URL
cmhxgd70n024z7dvgvosyuyi2,"Adalbert Gschosmann","Wien","https://www.aufstellerInnen.at"
cmhxggpyr03pz7dvghgpz3h04,"Adelheid Kröss","Wien","https://www.aufstellerInnen.at"
cmhxgiu2h04mp7dvg7khsbjld,"Adelheid Maria Moser","Wien","http://psychotherapeutin-moser.at"
cmhxh1xug019prrxbrdjwz3up,"Adelheid Starnberger","Wien","https://www.aufstellerInnen.at"
cmhxhwdgd00bzcrhmn7ieadyk,"Adelheid Wimmer","Wien","http://www.hypnopsy.at"
cmhxhw4nu008hcrhmyhffyeai,"Adrian Werth","Wien","https://www.aufstellerInnen.at"
cmhxhvu50004rcrhmri6rb7fu,"Afsaneh Weihs","Wien","https://www.aufstellerInnen.at"
cmhxgkuxz05ib7dvgm0n19s6l,"Aglaja Przyborski","Wien","https://www.training.at/trainerin/21953"
cmhxg9n9a00kf7dvgfc8antfp,"Agnes Blahacek","Wien","https://www.agnes-blahacek.at"
cmhxgjpv5050z7dvgvn5ccbb1,"Agnes Panagl","Wien","https://www.aufstellerInnen.at"
cmhxgziqh00ebrrxbe1ifnzej,"Agnes Salomon","Wien","http://www.agnes-salomon.at"
cmhxg9ssa00mp7dvgp3pozns0,"Aida Alejandra Bohrn","Wien","http://www.bohrnpatricia.net"
cmhxgakl400xp7dvg56h0e3f5,"Aimée Colins De Tarsienne","Wien","https://www.aufstellerInnen.at"
cmhxh0b3300o5rrxbis8z6tvs,"Alain Schmitt","Wien","https://www.mediation.at/mediator/18575"
cmhxhvnci001vcrhm9cx2ayz5,"Albert Wandl-Radakovits","Wien","https://www.aufstellerInnen.at"
cmhxga8md00sj7dvgra27v0ip,"Aleksandra Bryniarska-Damm","Wien","https://www.aufstellerInnen.at"
cmhxgzgis00dhrrxbj858lf12,"Alena Sack","Wien","https://www.aufstellerInnen.at"
cmhxgco4v01w57dvgwlgs0ysb,"Alessandro Rodolfo Giarratana","Wien","https://www.aufstellerInnen.at"
cmhxhvpao002ncrhmo9cd1yqt,"Alexa Kyra Weber","Wien","http://www.psychotherapie-vt.at"
cmhxg8meg003p7dvgfqrn405o,"Alexander Amesmann","Wien","https://www.aufstellerInnen.at"
cmhxg8s6j006f7dvgreamp4va,"Alexander Artner","Wien","https://www.training.at/trainer/146961"
cmhxga0h600pr7dvgap5f278e,"Alexander Brem","Wien","https://www.aufstellerInnen.at"
cmhxgahe300wb7dvgvv7fga2o,"Alexander Chernikov","Wien","https://www.psychotherapie-chernikov.at"
cmhxgjbcz04uj7dvg2206y18x,"Alexander Christian Nikodemus","Wien","https://www.psychotherapie-nikodemus.at"
cmhxh10hn00xhrrxbgpj3lhg5,"Alexander Eugen Schwetz","Wien","https://www.alexander-schwetz.at"
cmhxgcc8r01qn7dvgy8oz3fmx,"Alexander Frühmann","Wien","https://www.praxis-fruehmann.at"
cmhxgjhrh04xb7dvg2yzn5dw4,"Alexander Gerhard Oesterreicher","Wien","https://www.aufstellerInnen.at"
cmhxgdsm302ez7dvgm7yfpsgu,"Alexander Haydn","Wien","http://alessandra-haydn.at"
cmhxgdt3s02f77dvgyrqqldin,"Alexander Heckner","Wien","https://www.kunsttherapie.at/kunsttherapeut/48685"
cmhxgywnn006frrxb3o9l19ex,"Alexander Hellmuth Rieder","Wien","https://www.mediation.at/mediator/144984"
cmhxg8wln008j7dvg836vgfdl,"Alexander Johannes Bachl","Wien","https://www.alexanderbachl.at"
cmhxgftn003cj7dvgp66wcvpz,"Alexander Josef Kleinrath","Wien","https://www.ergotherapeuten.at/ergotherapeut/152098"
cmhxgfp8e03ah7dvgdcoxl4k0,"Alexander Kiss","Wien","https://www.mediation.at/mediator/43347"
cmhxgfyrc03ev7dvglf6r8cld,"Alexander Knoll","Wien","https://hypnose-therapie.at"
cmhxgg3g803h57dvgk1lkpr3i,"Alexander Kolar","Wien","http://www.barbara-kolarik.at"
